year,violent,murder,robbery,prisoners,afam,cauc,male,population,income,density,state,law
1999,490.2,7.9,121.2,519,9.331416,55.29781,14.0052,4.369862,13737.26,0.0861057,Alabama,no
1999,631.5,8.6,91.4,413,8.986603,60.55464,16.6318,0.6195,17120.14,0.0010861,Alaska,yes
1999,551.2,8,152.5,507,4.343524,63.80436,14.36654,4.778332,15053.45,0.0420472,Arizona,yes
1999,425.2,5.6,79.3,415,5.961927,61.2114,14.17539,2.551373,13295.33,0.0489942,Arkansas,yes
1999,627.2,6,181.1,483,8.08967,58.14976,14.91536,33.14512,17853.89,0.2125055,California,no
1999,340.5,4.6,75.3,357,3.094968,71.19784,14.23856,4.056133,18856.73,0.0391028,Colorado,no
1999,345.6,3.3,123.5,372,4.480762,64.13895,12.77051,3.282031,23646.71,0.6774058,Connecticut,no
1999,734,3.2,197.9,429,8.134692,58.07962,13.49182,0.753538,18359.2,0.3854414,Delaware,no
1999,1627.7,46.4,644.3,1913,21.66975,29.27457,12.21368,0.519,23399.74,8.508196,District of Columbia,no
1999,854,5.7,211.6,447,6.394272,57.11421,12.52576,15.11124,16613.04,0.2798534,Florida,yes
1999,534,7.5,166.4,502,11.10859,53.18856,14.62885,7.78824,16339.75,0.1344678,Georgia,yes
1999,235,3.7,88.1,307,24.16387,26.08433,13.68127,1.185497,16464.73,0.1845706,Hawaii,no
1999,244.9,2,17.8,330,1.250619,73.22482,15.79188,1.2517,13676.86,0.0151261,Idaho,yes
1999,732.5,7.7,219.4,357,6.703696,60.3039,14.05192,12.12837,18620.52,0.2181636,Illinois,no
1999,374.6,6.6,109.3,321,3.437446,68.08481,14.19487,5.942901,15641.89,0.1656789,Indiana,yes
1999,280,1.5,36.6,258,1.413076,71.35867,14.14049,2.869413,15307.6,0.0513541,Iowa,no
1999,382.8,6,77.1,310,3.327742,67.8686,14.74104,2.654052,15969.59,0.0324365,Kansas,no
1999,300.6,5.4,80,379,2.947063,70.29076,14.22267,3.960825,13889.75,0.0996885,Kentucky,yes
1999,732.7,10.7,173.6,736,11.7578,50.20788,14.99215,4.372035,13657.72,0.1003543,Louisiana,yes
1999,112.2,2.2,19.4,125,0.729426,75.10503,13.45536,1.25304,14700.04,0.0405974,Maine,yes
1999,743.4,9,263.7,418,11.85378,50.83417,13.30775,5.171634,19445.17,0.5290675,Maryland,no
1999,551,2,96,275,3.768917,67.02943,13.03218,6.175169,21245.15,0.7878501,Massachusetts,no
1999,574.9,7,143,466,5.833841,62.94402,14.09948,9.863775,16806.19,0.1736305,Michigan,no
1999,274,2.8,82,117,2.70455,70.39762,14.37508,4.775508,18383.72,0.059981,Minnesota,no
