id,year,wage2,experience,weeks,occupation,industry,south,smsa,married,gender,union,education,ethnicity
1,1982,1438.117692,9,32,white,yes,yes,no,yes,male,no,9,other
2,1982,2546.724923,36,30,blue,yes,no,no,yes,male,no,11,other
3,1982,2664.008308,12,46,blue,yes,no,no,no,male,yes,12,other
4,1982,2097.138615,37,46,blue,no,no,yes,no,female,no,10,afam
5,1982,4116.088308,16,49,white,no,no,no,yes,male,no,16,other
6,1982,4297.598308,32,47,blue,yes,no,yes,yes,male,no,12,other
7,1982,1898.873846,21,48,blue,no,no,no,yes,male,yes,12,other
8,1982,2747.782154,29,51,blue,yes,no,yes,yes,male,yes,10,other
9,1982,3769.823077,9,48,white,no,yes,yes,yes,male,no,16,other
10,1982,2359.63,9,40,white,no,yes,yes,yes,male,no,16,other
11,1982,3909.446154,30,47,blue,no,no,yes,yes,male,yes,12,other
12,1982,3228.085538,27,46,blue,no,yes,yes,yes,male,yes,12,other
13,1982,4568.467077,32,46,blue,no,yes,yes,yes,male,no,12,other
14,1982,3462.652308,21,44,white,no,yes,yes,yes,male,no,17,other
15,1982,1815.1,15,48,white,no,no,no,no,female,no,14,other
16,1982,1661.514615,22,49,blue,no,yes,yes,no,female,no,12,afam
17,1982,3490.576923,22,47,white,yes,no,no,yes,male,no,14,other
18,1982,6841.530769,31,47,white,yes,yes,yes,yes,male,no,16,other
19,1982,2873.442923,46,40,blue,yes,no,yes,yes,male,yes,12,other
20,1982,3998.804923,31,48,white,yes,no,no,yes,male,no,16,other
21,1982,1753.665846,34,42,blue,yes,yes,no,yes,male,yes,4,other
22,1982,3211.330769,26,47,white,no,no,no,yes,male,no,14,other
23,1982,7483.796923,17,50,white,no,no,yes,yes,male,no,16,other
24,1982,977.3615385,11,50,blue,no,no,no,no,female,no,12,other
25,1982,2792.461538,14,41,white,no,no,yes,yes,male,yes,17,other
26,1982,4420.466615,20,48,white,yes,yes,yes,yes,male,no,15,other
27,1982,4188.692308,14,23,white,no,no,no,no,male,no,16,other
28,1982,2373.592308,32,49,blue,no,no,yes,yes,male,no,12,other
29,1982,5361.526154,37,49,white,no,no,yes,yes,male,no,14,other
30,1982,2144.610462,23,49,white,no,yes,yes,no,female,no,12,other
31,1982,5654.734615,28,45,white,yes,no,yes,yes,male,no,17,other
32,1982,6422.661538,36,47,white,yes,no,yes,yes,male,no,16,other
33,1982,4886.807692,20,49,white,no,no,yes,yes,male,no,16,other
34,1982,1108.607231,51,46,blue,no,yes,no,yes,male,no,8,other
35,1982,3141.519231,14,45,blue,yes,no,yes,yes,male,yes,13,afam
36,1982,3666.502,21,41,white,no,yes,yes,yes,male,no,10,other
37,1982,4610.354,18,49,white,no,no,yes,no,male,no,14,other
38,1982,1898.873846,16,49,blue,yes,no,no,yes,male,yes,12,other
39,1982,2527.177692,12,51,white,no,no,yes,yes,male,no,13,other
40,1982,4381.372154,36,47,white,no,yes,no,yes,male,yes,8,other
41,1982,6450.586154,26,47,white,no,yes,yes,yes,male,no,16,other
42,1982,3141.519231,36,49,blue,yes,no,yes,no,female,yes,12,afam
43,1982,4747.184615,11,49,white,no,no,yes,yes,male,no,16,other
44,1982,5584.923077,13,46,white,yes,no,yes,yes,male,no,17,other
45,1982,2164.157692,19,49,white,no,no,yes,no,female,no,13,other
46,1982,1954.723077,12,47,blue,no,no,no,yes,male,yes,12,other
47,1982,3350.953846,32,48,white,no,no,yes,yes,male,no,14,other
48,1982,4747.184615,32,49,white,yes,no,yes,no,male,no,16,other
49,1982,6958.814154,37,48,white,yes,no,no,yes,male,no,16,other
50,1982,2633.291231,37,28,white,no,no,yes,no,female,yes,12,other
51,1982,7679.269231,37,44,white,yes,no,yes,yes,male,no,17,other
52,1982,5864.169231,31,49,white,no,no,yes,yes,male,yes,16,other
53,1982,3769.823077,19,48,white,no,no,no,yes,male,no,13,other
54,1982,3384.463385,19,50,blue,yes,no,no,yes,male,yes,11,other
55,1982,3769.823077,38,46,blue,yes,no,yes,yes,male,yes,8,other
56,1982,1921.213538,29,50,blue,yes,yes,no,yes,male,no,12,other
57,1982,1541.438769,27,48,white,no,yes,yes,yes,male,no,11,other
58,1982,3490.576923,43,48,blue,yes,no,yes,yes,male,no,14,other
59,1982,5864.169231,32,46,white,yes,no,yes,yes,male,no,17,other
60,1982,1337.589077,24,43,blue,no,no,yes,no,female,yes,11,afam
61,1982,3490.576923,30,26,white,no,no,yes,no,female,no,17,other
62,1982,4021.144615,13,49,blue,yes,yes,no,yes,male,no,16,other
63,1982,4417.674154,17,50,white,no,no,no,yes,male,no,17,other
64,1982,2513.215385,40,50,blue,yes,no,yes,yes,male,no,12,other
65,1982,3205.745846,36,45,blue,yes,no,yes,yes,male,yes,8,other
66,1982,2652.838462,26,48,blue,yes,yes,no,yes,male,no,8,other
67,1982,1815.1,34,49,blue,no,yes,no,yes,male,no,12,other
68,1982,2932.084615,40,46,blue,yes,no,yes,yes,male,yes,12,other
69,1982,2856.688154,33,48,blue,yes,no,yes,yes,male,no,13,other
70,1982,3630.2,14,48,white,no,no,no,yes,male,no,16,other
71,1982,4576.844462,13,48,white,no,yes,yes,no,male,no,16,other
72,1982,3071.707692,17,42,white,no,no,no,yes,male,yes,17,other
73,1982,3429.142769,19,47,white,no,no,yes,yes,male,yes,16,other
74,1982,977.3615385,9,52,blue,no,yes,no,no,male,no,13,other
75,1982,1759.250769,29,47,blue,yes,yes,no,yes,male,no,8,afam
76,1982,1440.910154,15,49,blue,no,no,no,yes,male,no,13,other
77,1982,1491.174462,16,39,blue,no,yes,no,yes,male,no,10,other
78,1982,1535.853846,43,50,blue,no,yes,yes,no,male,no,12,other
79,1982,1186.796154,16,50,blue,no,no,no,no,female,no,8,other
80,1982,3979.257692,11,50,white,yes,no,no,yes,male,no,17,other
81,1982,3641.369846,12,50,blue,no,no,yes,yes,male,no,16,other
82,1982,3269.972462,28,36,blue,no,yes,no,yes,male,yes,12,other
83,1982,1979.855231,18,46,blue,no,no,yes,no,male,yes,12,other
84,1982,2270.271231,44,47,white,no,yes,yes,yes,male,no,17,afam
85,1982,2197.667231,21,49,blue,yes,no,no,no,male,yes,7,other
86,1982,2164.157692,9,48,white,no,yes,yes,no,female,no,12,other
87,1982,3437.520154,18,49,blue,no,no,yes,yes,male,yes,14,other
88,1982,4021.144615,11,49,white,yes,no,yes,yes,male,no,15,other
89,1982,2359.63,17,49,white,no,no,yes,yes,male,no,12,afam
90,1982,2164.157692,7,49,white,no,no,yes,no,female,no,12,other
91,1982,3630.2,16,42,blue,yes,no,yes,yes,male,yes,7,other
92,1982,2273.063692,11,47,white,no,yes,no,yes,male,yes,14,other
93,1982,2792.461538,39,31,blue,yes,yes,no,yes,male,yes,7,other
94,1982,3596.690462,17,34,white,no,no,yes,yes,male,yes,17,other
95,1982,2532.762615,43,47,blue,yes,no,yes,yes,male,yes,8,other
96,1982,6701.907692,35,49,white,yes,no,yes,yes,male,no,16,other
97,1982,2588.611846,36,48,blue,no,yes,no,no,male,no,11,other
98,1982,4412.089231,22,50,white,yes,yes,yes,yes,male,no,17,other
99,1982,1426.947846,18,49,blue,yes,no,yes,no,male,no,12,other
100,1982,1954.723077,14,51,blue,no,no,yes,yes,male,no,11,other
101,1982,3638.577385,35,45,white,yes,no,yes,yes,male,no,14,other
102,1982,4747.184615,9,49,white,yes,no,yes,no,male,no,17,other
103,1982,2932.084615,20,43,white,no,no,yes,yes,male,no,16,other
104,1982,1256.607692,23,48,blue,yes,yes,yes,no,male,no,7,other
105,1982,4121.673231,17,47,white,no,yes,yes,yes,male,no,14,other
106,1982,2429.441538,12,49,white,yes,yes,yes,yes,male,no,12,other
107,1982,5026.430769,37,47,white,yes,no,yes,yes,male,no,12,other
108,1982,3490.576923,21,45,blue,yes,no,no,yes,male,yes,12,other
109,1982,4467.938462,31,49,white,yes,no,yes,yes,male,no,12,other
110,1982,2373.592308,43,40,white,yes,no,yes,yes,male,yes,12,other
111,1982,2965.594154,12,49,white,no,no,yes,no,male,no,13,other
112,1982,4132.843077,25,48,white,no,no,yes,no,male,no,13,other
113,1982,6520.397692,33,39,white,no,no,yes,yes,male,no,17,other
114,1982,1798.345231,35,49,white,no,no,no,yes,male,no,17,other
115,1982,3786.577846,20,48,blue,yes,no,no,yes,male,no,12,other
116,1982,3278.349846,20,48,blue,yes,no,no,yes,male,yes,14,other
117,1982,3211.330769,20,43,white,no,no,yes,no,female,yes,17,other
118,1982,3060.537846,31,47,blue,yes,no,no,yes,male,yes,9,other
119,1982,14241.55385,22,50,white,no,no,yes,yes,male,no,17,other
120,1982,2792.461538,20,49,blue,yes,no,yes,yes,male,no,12,other
121,1982,5864.169231,19,49,white,yes,no,no,no,male,no,16,other
122,1982,3071.707692,21,50,blue,no,no,no,yes,male,yes,12,other
123,1982,3071.707692,33,29,blue,yes,yes,no,yes,male,yes,8,other
124,1982,5026.430769,34,47,white,no,yes,no,yes,male,no,16,other
125,1982,2817.593692,20,49,blue,yes,yes,yes,yes,male,yes,12,other
126,1982,874.0404615,9,52,blue,no,no,no,yes,male,no,12,other
127,1982,4356.24,34,37,blue,no,no,yes,yes,male,yes,14,other
128,1982,2415.479231,33,41,blue,yes,no,yes,yes,male,no,12,other
129,1982,1840.232154,37,49,blue,yes,no,yes,yes,male,yes,8,other
130,1982,3211.330769,37,46,blue,yes,no,yes,yes,male,yes,8,other
131,1982,3258.802615,36,41,blue,yes,no,yes,yes,male,yes,8,other
132,1982,5291.714615,27,50,white,no,yes,no,yes,male,no,17,other
133,1982,3211.330769,25,40,blue,yes,yes,yes,yes,male,yes,12,afam
134,1982,1773.213077,10,49,blue,yes,no,no,no,male,yes,12,other
