Fact_ID,State_ID,Year,Population,FK_Substance_Group_ID,FK_User_Type_ID,Population_Totals,Population_Rates,FK_Age_Group_ID
40001,2100,2002,380805,2504,3003,20,59.732,1001
40002,2101,2002,69400,2504,3003,4,77.736,1001
40003,2102,2002,485521,2504,3003,25,64.179,1001
40004,2103,2002,232986,2504,3003,13,66.71,1001
40005,2104,2002,3140739,2504,3003,158,58.786,1001
40006,2105,2002,385648,2504,3003,23,75.936,1001
40007,2106,2002,295157,2504,3003,20,83.099,1001
40008,2107,2002,66477,2504,3003,4,79.415,1001
40009,2108,2002,33192,2504,3003,2,68.901,1001
40010,2109,2002,1346297,2504,3003,77,67.541,1001
40011,2110,2002,748467,2504,3003,40,59.333,1001
40012,2111,2002,103803,2504,3003,6,70.172,1001
40013,2112,2002,128028,2504,3003,7,63.64,1001
40014,2113,2002,1082396,2504,3003,58,62.369,1001
40015,2114,2002,541577,2504,3003,25,54.761,1001
40016,2115,2002,246347,2504,3003,12,53.682,1001
40017,2116,2002,241178,2504,3003,11,51.272,1001
40018,2117,2002,327727,2504,3003,19,69.493,1001
40019,2118,2002,406965,2504,3003,20,56.358,1001
40020,2119,2002,108861,2504,3003,8,83.056,1001
40021,2120,2002,476696,2504,3003,28,66.743,1001
40022,2121,2002,508325,2504,3003,31,77.447,1001
40023,2122,2002,895753,2504,3003,51,67.834,1001
40024,2123,2002,446545,2504,3003,26,68.649,1001
40025,2124,2002,257508,2504,3003,11,45.486,1001
40026,2125,2002,491394,2504,3003,30,71.002,1001
40027,2126,2002,81697,2504,3003,6,90.805,1001
40028,2127,2002,152465,2504,3003,9,66.346,1001
40029,2128,2002,184670,2504,3003,12,84.232,1001
40030,2129,2002,113457,2504,3003,8,88.15,1001
40031,2130,2002,719658,2504,3003,43,66.24,1001
40032,2131,2002,176611,2504,3003,11,82.554,1001
40033,2132,2002,1562426,2504,3003,93,68.483,1001
40034,2133,2002,685632,2504,3003,46,78.134,1001
40035,2134,2002,54387,2504,3003,3,69.59,1001
40036,2135,2002,987986,2504,3003,56,66.158,1001
40037,2136,2002,302673,2504,3003,17,63.342,1001
40038,2137,2002,297076,2504,3003,17,69.408,1001
40039,2138,2002,1028108,2504,3003,60,66.53,1001
40040,2139,2002,85295,2504,3003,5,78.864,1001
40041,2140,2002,345629,2504,3003,20,65.633,1001
40042,2141,2002,69742,2504,3003,5,83.853,1001
40043,2142,2002,473558,2504,3003,22,50.895,1001
40044,2143,2002,2018953,2504,3003,114,65.191,1001
40045,2144,2002,229447,2504,3003,10,44.975,1001
40046,2145,2002,53924,2504,3003,4,103.502,1001
40047,2146,2002,607438,2504,3003,38,73.392,1001
40048,2147,2002,528622,2504,3003,31,71.435,1001
40049,2148,2002,139163,2504,3003,9,72.889,1001
40050,2149,2002,482686,2504,3003,30,71.661,1001
40051,2150,2002,45377,2504,3003,3,64.353,1001
40052,2100,2003,381563,2504,3003,19,57.088,1001
40053,2101,2003,68492,2504,3003,4,77.867,1001
40054,2102,2003,498693,2504,3003,27,66.348,1001
40055,2103,2003,233184,2504,3003,12,57.542,1001
40056,2104,2003,3209345,2504,3003,169,61.018,1001
40057,2105,2003,388793,2504,3003,24,79.195,1001
40058,2106,2003,295229,2504,3003,21,85.348,1001
40059,2107,2003,67658,2504,3003,4,65.887,1001
40060,2108,2003,33384,2504,3003,2,59.079,1001
40061,2109,2003,1376459,2504,3003,71,59.333,1001
40062,2110,2003,763519,2504,3003,37,56.072,1001
40063,2111,2003,100549,2504,3003,5,74.496,1001
40064,2112,2003,127839,2504,3003,7,65.401,1001
40065,2113,2003,1089901,2504,3003,59,61.566,1001
40066,2114,2003,546518,2504,3003,27,57.637,1001
40067,2115,2003,243608,2504,3003,12,52.555,1001
40068,2116,2003,237856,2504,3003,13,60.363,1001
40069,2117,2003,336908,2504,3003,20,73.09,1001
40070,2118,2003,403315,2504,3003,21,58.623,1001
40071,2119,2003,109954,2504,3003,6,72.125,1001
40072,2120,2003,485901,2504,3003,27,63.718,1001
40073,2121,2003,512838,2504,3003,29,72.817,1001
40074,2122,2003,902553,2504,3003,51,66.869,1001
40075,2123,2003,442828,2504,3003,24,64.39,1001
40076,2124,2003,256982,2504,3003,11,43.881,1001
40077,2125,2003,490972,2504,3003,28,68.97,1001
40078,2126,2003,79960,2504,3003,5,86.342,1001
40079,2127,2003,150669,2504,3003,8,61.677,1001
40080,2128,2003,192336,2504,3003,11,68.309,1001
40081,2129,2003,114731,2504,3003,7,74.487,1001
40082,2130,2003,733853,2504,3003,41,60.99,1001
40083,2131,2003,175489,2504,3003,11,87.619,1001
40084,2132,2003,1571709,2504,3003,86,62.796,1001
40085,2133,2003,701982,2504,3003,39,64.133,1001
40086,2134,2003,52643,2504,3003,3,67.481,1001
40087,2135,2003,983181,2504,3003,53,62.47,1001
40088,2136,2003,296942,2504,3003,15,59.07,1001
40089,2137,2003,297247,2504,3003,17,69.537,1001
40090,2138,2003,1034227,2504,3003,57,63.284,1001
40091,2139,2003,87330,2504,3003,5,73.838,1001
40092,2140,2003,356468,2504,3003,20,62.303,1001
40093,2141,2003,68362,2504,3003,4,72.401,1001
40094,2142,2003,475614,2504,3003,23,53.597,1001
40095,2143,2003,2038642,2504,3003,102,57.748,1001
40096,2144,2003,229590,2504,3003,9,41.57,1001
40097,2145,2003,53561,2504,3003,4,88.156,1001
40098,2146,2003,617003,2504,3003,29,53.038,1001
40099,2147,2003,527419,2504,3003,29,64.707,1001
40100,2148,2003,138269,2504,3003,8,70.166,1001
40101,2149,2003,478926,2504,3003,28,69.829,1001
40102,2150,2003,43883,2504,3003,3,69.667,1001
40103,2100,2004,380150,2504,3003,17,51.428,1001
40104,2101,2004,68162,2504,3003,4,71.5,1001
40105,2102,2004,510698,2504,3003,28,68.894,1001
40106,2103,2004,232095,2504,3003,11,55.108,1001
40107,2104,2004,3290671,2504,3003,164,57.477,1001
40108,2105,2004,392822,2504,3003,24,74.678,1001
40109,2106,2004,299013,2504,3003,19,79.91,1001
40110,2107,2004,67454,2504,3003,4,68.35,1001
40111,2108,2004,34350,2504,3003,2,61.086,1001
40112,2109,2004,1404055,2504,3003,73,60.007,1001
40113,2110,2004,775954,2504,3003,35,50.271,1001
40114,2111,2004,100585,2504,3003,5,62.499,1001
40115,2112,2004,127552,2504,3003,6,55.463,1001
40116,2113,2004,1099965,2504,3003,58,59.355,1001
